"date","region","headline","core","food","nonfood","services","agriculture","energy"
2000 Q1,"frontera.norte",48.80832189844,53.2459907389865,39.9702740479499,57.9575945281435,56.9448129898191,36.208672832034,36.5669480688744
2000 Q1,"noroeste",47.5344517398705,50.5596432258416,39.372069683439,55.2543988403867,53.0310487974117,35.4003256615229,39.5282135293836
2000 Q1,"noreste",46.7182491423889,51.2482078400956,37.9267666238713,58.6274552371475,53.5574613012717,35.5852672984909,31.3578865680098
2000 Q1,"centro.norte",44.8162929603258,49.4425749997558,39.4586175107523,59.294789971696,48.9649587080256,35.3899264401082,25.750627316949
2000 Q1,"centro.sur",43.6267738680149,47.0907941837159,37.7671242198939,53.9089852801324,47.1040104698256,36.549439096807,27.4499802858245
2000 Q1,"sur",44.6670674152885,48.0139450835271,38.6590212952708,57.9543749528066,46.792493244959,36.3345402985116,31.6092907846499
2000 Q1,"cdmx",44.2160893144409,48.515981313006,36.9404501141117,60.4267061182256,47.7078820440214,34.5244561375165,25.1890401458598
2000 Q1,"nacional",45.2821683995432,49.4423936631595,38.2660254552948,58.3663767711281,49.6512145407527,35.3095426227225,29.6032310855366
2000 Q2,"frontera.norte",49.4144677919717,54.2681231378698,40.6766574578945,59.1173422876786,58.051726397508,35.9127748573689,35.7081037939617
2000 Q2,"noroeste",47.9409769773876,51.4618082252475,39.9078483336132,56.256642046696,54.1106095503734,35.786714591937,36.6789726472742
2000 Q2,"noreste",47.5104027871745,52.2984039696216,38.7532652145145,59.7694790369958,54.6539289241107,35.8666386668469,31.1837886978614
2000 Q2,"centro.norte",45.6323739864917,50.3527787321368,40.0953552619405,60.4709629916905,49.8828235043375,35.5775320002742,26.7264881639929
2000 Q2,"centro.sur",44.4480481626994,48.0146382660102,38.2858840948399,55.1144595394878,48.1268373031041,36.9954664506593,28.0216024833601
2000 Q2,"sur",45.3667199779547,48.9991694853917,39.347668885957,59.1539804157363,47.8431489812221,36.8872785467183,30.1000693264851
2000 Q2,"cdmx",45.0152553619315,49.1862312976213,37.4715656507905,61.2261918120376,48.3724185249583,35.7226550297863,26.2360168805325
2000 Q2,"nacional",46.0474387483222,50.2998147938786,38.8828074045513,59.4044674553609,50.5296088722846,35.9540955499114,29.9241360492461
2000 Q3,"frontera.norte",50.1449095245464,55.0871592285124,41.3117362759412,60.2016482124197,58.7917040535604,36.1754511713386,36.3291165677386
2000 Q3,"noroeste",48.5077471099934,52.0845585499168,40.3587105400215,57.0025879770043,54.7427591316656,36.6107743371239,36.151208319253
2000 Q3,"noreste",48.2958740849977,53.1022992857983,39.1406927309395,60.6045070404797,55.713868132447,36.6125196093799,32.0192222356019
2000 Q3,"centro.norte",46.3624067566141,51.0072797716286,40.2939993061408,61.3825734135801,50.7047127460603,36.4554810653002,27.7598514092436
2000 Q3,"centro.sur",45.224233944595,48.6766417081862,38.4576386626114,56.0295984217669,48.9963445939569,37.9210059229097,29.2749985520376
2000 Q3,"sur",46.1936736362932,49.6788733680929,39.7966667720872,59.8164196393677,48.7086755144272,37.9364607173781,31.6969902418022
2000 Q3,"cdmx",45.6410319071005,49.657985969641,37.577386113474,61.3903423491875,49.1587347368598,36.8092623998491,27.3978788199193
2000 Q3,"nacional",46.7498547588998,50.9235041060391,39.1423060254073,60.0513800253143,51.3593411303103,36.8726315256859,30.9282425272272
2000 Q4,"frontera.norte",51.5259791414388,56.093732020741,41.9227327587906,61.1445838038162,60.0677165723149,37.2317850484939,39.768416647703
2000 Q4,"noroeste",49.9731099811253,53.1454413881765,40.8055979945712,57.8909484943594,56.3984895059662,36.0774390722712,42.3070129250407
2000 Q4,"noreste",49.5986622201968,54.157538008591,39.7261460636943,61.4818482448675,57.1847398595197,37.5462570409227,35.1197623237262
2000 Q4,"centro.norte",47.3677288719861,51.932915106034,40.6253784868584,62.3243580391507,52.0496591816792,37.5383928311848,29.2704998787018
2000 Q4,"centro.sur",46.2232651304444,49.5352996453274,38.8074396526367,56.8048636815112,50.2586137967245,38.59062906468,31.7085331571578
2000 Q4,"sur",47.3247496907228,50.6894212412299,40.3377965436642,60.7389145262128,50.1576192662335,38.0070323414247,36.4656721612465
2000 Q4,"cdmx",46.573085571536,50.4821255772823,38.0913679892401,62.0456513403422,50.1962332455207,37.9481530483484,29.0644207150715
2000 Q4,"nacional",47.8293967986858,51.8395095684357,39.6117010029125,60.862575376851,52.5963078306697,37.7726577756972,33.4659345263595
2001 Q1,"frontera.norte",52.6963474558025,57.1822076862033,42.6733292339714,62.3255083870785,61.2817346705195,37.5370883596426,41.6584010281809
2001 Q1,"noroeste",51.0583457220045,54.0938115819085,41.7564655329572,58.8655145259741,57.2554738175284,36.0835982837707,45.3807348707706
2001 Q1,"noreste",51.0759791348274,55.4503674338435,41.028742275201,62.5520197821153,58.5233837867684,37.5076963343839,38.3871785007751
2001 Q1,"centro.norte",48.2358409741446,53.0370053147012,41.5794580469102,63.5164899229731,53.1700994087388,37.0365952275859,30.1777651031599
2001 Q1,"centro.sur",47.1036980518009,50.5454240430122,39.7575270623205,57.4378933056725,51.457849381223,38.4354156233737,32.7640219603563
2001 Q1,"sur",48.1058506550617,51.7460931249709,41.2470351994288,61.9481170242326,51.1793900642426,37.6671344597196,37.3370639944711
2001 Q1,"cdmx",47.0311456403857,51.4649993187587,38.932336519454,62.9162972655037,51.2763604627342,36.130300027208,29.8024756656292
2001 Q1,"nacional",48.6585231484264,52.9014455106698,40.5582503395697,61.8447000894757,53.7313298933727,36.9099518720471,34.9418209700775
2001 Q2,"frontera.norte",52.9997556485713,57.8537759014635,43.4794196913087,62.7189525690476,61.9969794310019,37.9851522162791,39.6990246107353
2001 Q2,"noroeste",50.9506726934901,54.6165569501317,42.7470684603889,59.4567356971145,57.2774013367517,36.1053179775908,40.8894649613901
2001 Q2,"noreste",51.7125983847772,56.5487936909551,42.0483976161226,63.2392355550759,59.873032429667,38.2684899714707,36.1438908789747
2001 Q2,"centro.norte",48.7865701960473,53.775890561835,42.3577119707726,63.8248851159479,54.1230141510405,36.9561447459257,29.9923408817871
2001 Q2,"centro.sur",47.726594086986,51.4180314006469,40.4000257916799,58.0594738281863,52.5986456125565,38.7627931277219,31.7292354039105
2001 Q2,"sur",48.6711200195048,52.726997726722,42.0334991153068,62.6138773834443,52.5032839673039,38.1885991874491,33.9813476051028
2001 Q2,"cdmx",47.6731114933755,52.1636752141208,39.6246436479885,63.5034601171563,52.0102826136777,36.9075814473636,29.5489958210747
2001 Q2,"nacional",49.2114409920468,53.6850666655664,41.3380298435639,62.3792406139277,54.6210659002712,37.4091417015114,33.7800028604474
2001 Q3,"frontera.norte",53.0952296202952,58.2007642309764,43.6794099132761,62.630884775114,62.7047707259393,38.2418571816553,38.3547173887909
2001 Q3,"noroeste",51.135462001533,55.0154070299386,42.9650869816969,59.7101925020435,57.9187995781687,37.2722020211654,38.3528088068155
2001 Q3,"noreste",51.9914571527919,57.2946325452126,42.3839150930341,63.6938935823617,61.0815066070192,39.2221518848813,33.5087709283774
2001 Q3,"centro.norte",49.1205765604831,54.1321868090164,42.4240132454679,63.6521437614714,55.0313296852062,38.4160325937025,28.7785009378632
2001 Q3,"centro.sur",47.8911308868857,51.9343244356094,40.3912721505176,58.4481912544156,53.5852387833847,38.6036138974668,30.0316524274716
2001 Q3,"sur",48.9427568663301,53.2902763536495,42.0367535475901,62.7578391210023,53.8505644681446,38.2005209647454,32.4620301986058
2001 Q3,"cdmx",48.1655238253999,52.7391121493929,39.9791171089988,63.8913201042489,52.7686824554994,38.2669461052178,28.1085304600049
2001 Q3,"nacional",49.5447442754973,54.2036192485626,41.5358889991758,62.598577227446,55.5037596988274,38.3877313348918,32.0760706519464
2001 Q4,"frontera.norte",54.1369022308571,58.8833189633006,43.8624189468518,62.9216100027804,63.9549630514363,39.3298144569665,41.1735301040394
2001 Q4,"noroeste",52.3694011117894,55.6608338379214,43.314623641211,60.191682264887,58.904047647774,38.1171765917612,43.8564941536095
2001 Q4,"noreste",52.7890426876373,57.9721611029825,42.740293295436,63.7738068541861,62.3525929572791,39.6127367406447,35.4919848261168
2001 Q4,"centro.norte",49.7255111847468,54.651446921293,42.5694879024983,63.9325929169682,55.9761927038321,39.2702281106659,29.5117614855831
2001 Q4,"centro.sur",48.7256258803,52.6583929693833,40.7636161318035,58.9261543118474,54.6877962096056,39.9436403529808,31.2838594739565
2001 Q4,"sur",49.8676011936024,53.9600971506373,42.3430207430308,62.8900799949097,55.1973458746776,38.9353577527173,36.2110261727615
2001 Q4,"cdmx",48.8600232641539,53.2711993781304,40.4104274932787,63.9992831059017,53.5311437327179,39.8851521856622,28.6372168994625
2001 Q4,"nacional",50.3245387342989,54.8041350066632,41.8569755901979,62.8253378149286,56.4784902237133,39.5727927037001,33.593634679583
2002 Q1,"frontera.norte",54.9055435582933,59.6109741205344,44.415082028736,63.2006026065257,65.0518686750614,38.9661272101714,43.1430844038169
2002 Q1,"noroeste",53.3730476843488,56.2753516992633,43.9160548494223,60.587559073822,59.6556305434756,37.6139097173532,46.9262171265769
2002 Q1,"noreste",53.6880038015982,58.8826884529747,43.682392995313,64.2941021614967,63.425950086222,39.2145137980207,37.2529626168557
2002 Q1,"centro.norte",50.1993404890396,55.2382949496069,42.9441351405997,64.054019804814,57.0036590183637,38.4644912248535,30.1976260977863
2002 Q1,"centro.sur",49.3036162461411,53.4411544849505,41.2237275621627,59.06535523708,56.0520507545194,39.5075204674933,31.6593437781898
2002 Q1,"sur",50.5015173501032,54.8228757502849,43.1019829470723,63.4214595812578,56.3371279668046,38.8027060825257,36.3923661785781
2002 Q1,"cdmx",49.4275347466481,54.0102770587403,40.9872496614484,63.9534062734989,54.6907900052927,37.8863973101996,29.1160052728553
2002 Q1,"nacional",50.9620970811547,55.5418987316922,42.4355192249709,62.9987849127683,57.6096316856175,38.4500341623026,34.6047820773
2002 Q2,"frontera.norte",55.1075667082837,60.1952403795977,44.9208925880887,63.3035192335297,65.9646101447462,38.4813170110582,42.1737266887694
2002 Q2,"noroeste",53.0633202750237,56.7289385990301,44.3760562214034,60.8100791355898,60.2505588198034,36.3757085884014,42.7945412520465
2002 Q2,"noreste",54.1550377589831,59.4830460158601,44.0706600497861,64.4749330554767,64.4236857870205,38.6720746161031,37.7898124432269
2002 Q2,"centro.norte",50.9342414421719,55.8586677552037,43.3095917530725,63.9701321825151,58.2496790054724,38.3120697164449,32.2052568423803
2002 Q2,"centro.sur",50.1545467717647,54.0644601457781,41.5524964193387,59.4125436976655,57.0318076813938,39.8543965772656,33.7079056775272
2002 Q2,"sur",50.8500499398605,55.3994797409403,43.4808868272364,63.7133762197448,57.2633401349996,38.9936278347752,34.9264873457242
2002 Q2,"cdmx",50.1477572379088,54.5384993733515,41.5536279146292,64.0978941179964,55.3600344050805,38.5820103844152,31.2161661234561
2002 Q2,"nacional",51.5575855920828,56.1140078726327,42.879777482356,63.1370323575521,58.4876660832865,38.6113779950213,35.7234836187742
2002 Q3,"frontera.norte",55.5283478602746,60.7509796851806,44.999419566561,63.5678742730362,66.97531988859,39.8441846184452,41.4725657450335
2002 Q3,"noroeste",53.3184819302298,57.2527239820701,44.3408525633838,61.0515752130675,61.3242401302221,37.3374189715505,40.6598870949817
2002 Q3,"noreste",54.6376235901814,59.8940701481822,44.0719186158714,64.5794232118809,65.3233644890835,40.2615390508253,37.9077854060932
2002 Q3,"centro.norte",51.5623929249845,56.3096873255037,43.3100237624385,63.8949111743653,59.2768098099281,39.8159319031584,32.8751517634221
2002 Q3,"centro.sur",50.7222601258431,54.5150316240912,41.6042369091804,59.2978998606668,58.0369067843342,40.9459203528983,34.5131923767696
2002 Q3,"sur",51.6067535741145,55.8320888808338,43.5036414393873,63.7282914491319,58.2075627481161,40.2385609798994,36.1183278431352
2002 Q3,"cdmx",50.8063916070742,54.8483171052083,41.7027144432654,63.9319635464426,55.915470698316,40.9944884117824,31.8363156802569
2002 Q3,"nacional",52.1435583067893,56.5211573585616,42.9405142125505,63.1088232639341,59.3013829996038,40.3934236854593,36.0575106568135
2002 Q4,"frontera.norte",56.4516813275778,61.2200348248646,45.2640051395867,63.7296976076701,67.7479931384808,40.3456645308357,44.9891574344565
2002 Q4,"noroeste",55.3994469755244,58.0543023562729,44.9082041704217,61.372173431595,62.5816554549541,38.2556261335834,52.5002127465396
2002 Q4,"noreste",55.5155695822813,60.3638455684184,44.3976968946416,64.6211983241155,66.1788931125658,41.0029880172446,41.1001332798704
2002 Q4,"centro.norte",52.3919049092349,57.0395253002292,43.8907308719248,63.9967629623241,60.4073880766236,40.9041820789002,34.3312535472256
2002 Q4,"centro.sur",51.6016988212198,55.1560777866719,42.0645850279712,59.1861465301368,59.1831919311827,42.2456286937647,37.1291047803643
2002 Q4,"sur",53.0567458967192,56.4963101587942,43.8968087567533,63.8604568875792,59.2839018713682,42.0538791610673,42.9651792210984
2002 Q4,"cdmx",51.41151031375,55.2961082278729,42.1602878048984,64.1991999150515,56.4252596030136,42.1672653160845,33.2497427023545
2002 Q4,"nacional",53.0102470100367,57.0775500005035,43.3855945470921,63.2459389686819,60.1162429953795,41.499619274927,38.9831493217963
2003 Q1,"frontera.norte",57.4377014107864,61.7435657521454,45.8949958576153,63.8970407463762,68.4274855990839,42.5793982023134,47.3363517158908
2003 Q1,"noroeste",56.6708891872658,58.6385511689908,45.5702598092488,61.5916098598293,63.3649259303583,38.7044060037769,58.7092207582734
2003 Q1,"noreste",56.40789655446,60.9469520018684,44.9006037958108,65.0918716317466,66.8793809812575,42.3196696423009,42.8463720348205
2003 Q1,"centro.norte",52.8757556013812,57.4961808019612,44.279823474717,64.1706570393305,61.0435723552332,40.9876941016613,35.3578227310269
2003 Q1,"centro.sur",52.1511236456849,55.7106946153054,42.8910864501179,59.1708618840642,59.9110746202985,42.3805238504788,38.332220665898
2003 Q1,"sur",53.6499274187485,57.2117052799323,44.7475718114733,63.9853054771817,60.2175553036357,42.2687636059016,43.227456146174
2003 Q1,"cdmx",52.1269042377012,56.0835966632298,43.0147676247135,64.3854894809093,57.4099653404701,42.2932382976616,34.2243593127973
2003 Q1,"nacional",53.7339483542681,57.7160618618404,44.0667991429213,63.4406954194271,60.9507865801424,41.9554571595178,40.5349540730525
2003 Q2,"frontera.norte",57.1817739272865,62.2419047847298,46.6174384095547,63.9904091842416,69.0465981773242,42.6748443446905,42.6691729366478
2003 Q2,"noroeste",55.7761892324953,59.2358798649558,46.129797500505,62.028961446071,64.0864949090071,39.9509609073496,46.0933298838562
2003 Q2,"noreste",56.6390081646544,61.5165430181313,45.6053196953553,65.4515543787889,67.4965767574501,42.2445092240659,41.5895235854497
