"date","region","nivel_apertura","apertura","index"
2000-01-01,"centro",0,"general",43.7753078428046
2000-02-01,"centro",0,"general",44.1737790991171
2000-03-01,"centro",0,"general",44.4049696276698
2000-04-01,"centro",0,"general",44.6801083408359
2000-05-01,"centro",0,"general",44.9382515846342
2000-06-01,"centro",0,"general",45.1939121433473
2000-07-01,"centro",0,"general",45.3399618160914
2000-08-01,"centro",0,"general",45.5696974431952
2000-09-01,"centro",0,"general",45.8634384352607
2000-10-01,"centro",0,"general",46.1457606302806
2000-11-01,"centro",0,"general",46.426369036084
2000-12-01,"centro",0,"general",47.0122135728987
2001-01-01,"centro",0,"general",47.1771101599024
2001-02-01,"centro",0,"general",46.8965484353862
2001-03-01,"centro",0,"general",47.1688011496346
2001-04-01,"centro",0,"general",47.4569943877532
2001-05-01,"centro",0,"general",47.7665922902879
2001-06-01,"centro",0,"general",47.879958098115
2001-07-01,"centro",0,"general",47.7050307051781
2001-08-01,"centro",0,"general",48.0658808351992
2001-09-01,"centro",0,"general",48.5537547127633
2001-10-01,"centro",0,"general",48.7905562923978
2001-11-01,"centro",0,"general",48.8047693898337
2001-12-01,"centro",0,"general",48.8256549874316
2002-01-01,"centro",0,"general",49.4357600537594
2002-02-01,"centro",0,"general",49.1539912621502
2002-03-01,"centro",0,"general",49.4217697109423
2002-04-01,"centro",0,"general",49.7932781432306
2002-05-01,"centro",0,"general",50.0663905611115
2002-06-01,"centro",0,"general",50.3998608029477
2002-07-01,"centro",0,"general",50.5348855653754
2002-08-01,"centro",0,"general",50.6932685583773
2002-09-01,"centro",0,"general",50.9756767978814
2002-10-01,"centro",0,"general",51.1301649256681
2002-11-01,"centro",0,"general",51.3651841802617
2002-12-01,"centro",0,"general",51.7187315521852
2003-01-01,"centro",0,"general",51.8693046851287
2003-02-01,"centro",0,"general",52.0056302454887
2003-03-01,"centro",0,"general",52.3110153454467
2003-04-01,"centro",0,"general",52.513337186339
2003-05-01,"centro",0,"general",52.6312632177313
2003-06-01,"centro",0,"general",52.6364015713386
2003-07-01,"centro",0,"general",52.6751698370895
2003-08-01,"centro",0,"general",52.8070378752149
2003-09-01,"centro",0,"general",53.1200056530648
2003-10-01,"centro",0,"general",53.2798236048066
2003-11-01,"centro",0,"general",53.5028915832092
2003-12-01,"centro",0,"general",53.7560732945434
2004-01-01,"centro",0,"general",54.1369382220516
2004-02-01,"centro",0,"general",54.5146484231936
2004-03-01,"centro",0,"general",54.6693615488372
2004-04-01,"centro",0,"general",54.7700065840044
2004-05-01,"centro",0,"general",54.8675966561111
