disno.,disaster.subgroup,location,states
2011-9363-MEX,Climatological,"Nuevo Leon, Guanajuato, Sonora, Chihuahua, Coahuila, Durango, Zacatecas, San Luis Potosi provinces","Chihuahua, Coahuila, Durango, Guanajuato, Nuevo Leon, San Luis Potosi, Sonora, Zacatecas"
2012-0124-MEX,Geophysical,"Guerrero, Oaxaca, Mexico provinces","Guerrero, Mexico, Oaxaca"
2012-0276-MEX,Meteorological,"Tabasco, Veracruz, Guerrero, Quintana Roo, Puebla, Oaxaca provinces","Guerrero, Oaxaca, Puebla, Quintana Roo, Tabasco, Veracruz"
2012-0401-MEX,Meteorological,"Puerto Escondido city (Dist. Pochutla district, Oaxaca province)",Oaxaca
2013-0188-MEX,Meteorological,"Chiapas, Oaxaca provinces","Chiapas, Oaxaca"
2013-0335-MEX,Meteorological,"Yecuatla, Tuxpan, Atzalan districts (Veracruz province), Oaxaca province","Oaxaca, Veracruz"
2013-0348-MEX,Hydrological,Veracruz province,Veracruz
2013-0358-MEX,Meteorological,"Guerrero, Oaxaca, Jalisco, Michoacan, Sinaloa provinces","Guerrero, Jalisco, Michoacan, Oaxaca, Sinaloa"
2013-0406-MEX,Meteorological,"Veracruz, Hidalgo, Puebla provinces","Hidalgo, Puebla, Veracruz"
2014-0127-MEX,Geophysical,"Guerrero, Morelos, Distrito Federal, Michoacan provinces","Distrito Federal, Guerrero, Michoacan, Morelos"
2014-0183-MEX,Meteorological,"Chiapas, Oaxaca provinces","Chiapas, Oaxaca"
2014-0234-MEX,Geophysical,Chiapas province,Chiapas
2014-0325-MEX,Meteorological,"Oaxaca, Guerrero provinces","Guerrero, Oaxaca"
2014-0333-MEX,Meteorological,"Cabo San Lucas city (Los Cabos area, La Paz district, Baja California Sur province)","Baja California, Baja California Sur"
2014-0385-MEX,Meteorological,"Tamaupilas, Veracruz provinces",Veracruz
2014-0386-MEX,Meteorological,"La Paz district (Bafa California Sur province), Manzanillo district (Colima province), Mazatlan district (Sinaloa province), Baja Peninsula, Chihuahua, Jalisco, Nayarit,","Chihuahua, Colima, Jalisco, Nayarit, Sinaloa"
2014-0417-MEX,Meteorological,"Tlacoachistlahuaca, Huamuxtitlan, Tlalixtaquilla, Malinaltepec districts (Guerrero province), Oaxaca province","Guerrero, Oaxaca"
2015-0121-MEX,Meteorological,"Acuna district (Coahuila province), Veracruz, Oaxaca provinces","Coahuila, Oaxaca, Veracruz"
2015-0187-MEX,Meteorological,Acuna district (Coahuila province),Coahuila
2015-0382-MEX,Hydrological,"Manzanillo district (Colima province), Cihuatlan district (Jalisco province), Morelia, Zamora, Apatzingán districts (Michoacan province), Guerrero province","Colima, Guerrero, Jalisco, Michoacan"
2015-0470-MEX,Meteorological,"Manzanillo district (Colima province), Coahuila, Nuevo leon, Tamaulipas provinces","Coahuila, Colima, Nuevo Leon, Tamaulipas"
2016-0284-MEX,Meteorological,"Puebla, Veracruz provinces","Puebla, Veracruz"
2016-0319-MEX,Meteorological,"Cabo San Lucas city (La Paz district, Baja California Sur province), Oaxaca, Colima, Jalisco provinces","Baja California, Baja California Sur, Colima, Jalisco, Oaxaca"
2016-0325-MEX,Hydrological,Acapulco (Guerrero state); Chiapas state,"Chiapas, Guerrero"
2016-0332-MEX,Hydrological,"Guerrero, Chiapas states","Chiapas, Guerrero"
2016-0333-MEX,Hydrological,Durango city,Durango
2016-0424-MEX,Hydrological,"Ciudad Madero, Tampico, Altamira districts (Tamaulipas province), Catemaco district (Veracruz province), Chihuahua district (Chihuahua province)","Chihuahua, Tamaulipas, Veracruz"
2016-0532-MEX,Hydrological,"Tamaulipas, Veracruz, Chihuahua","Chihuahua, Tamaulipas, Veracruz"
2017-0168-MEX,Meteorological,"Sierra Madre del Sur, Sierra Madre de Chiapas Mountain ranges, Oaxaca State, San Francisco Ozolotepec, San Marcial Ozolotepec, San Pedro Quiatoni, San Carlos Yautepec, Jamiltepec, Juquila, and Pochutla, Tehuantepec in Istmo Region, Juchitan district, San Pablo Topiltepec","Chiapas, Oaxaca"
2017-0334-MEX,Meteorological,"Quintana Roo State (Yucatan Peninsula); Campeche, Tabasco and Chiapas, Lechuguillas (Veracruz state); Puebla, Hidalgo states","Campeche, Chiapas, Hidalgo, Puebla, Quintana Roo, Tabasco, Veracruz, Yucatan"
2017-0376-MEX,Meteorological,"Cabo San Lucas, San Jose del Cabo (Baja California Sur), Comondu, Mulege, La Paz, Los Cabos, Loreto","Baja California, Baja California Sur"
2017-0382-MEX,Geophysical,"Oaxaca (Juchitan), Chiapas (Cintapala),Tabasco states","Chiapas, Oaxaca, Tabasco"
2017-0387-MEX,Geophysical,"Puebla (Puebla, Cholula), Morelos (Cuernavaca, Jojutla), Mexico state, Mexico city (Roma, Reforma, Condesa, Narvarte, Napoles, Lindavista), Guerrero, Oaxaca, Chiapas","Chiapas, Guerrero, Mexico, Morelos, Oaxaca, Puebla"
2017-0392-MEX,Meteorological,"Tecolutla, Xalapa, Jalcomulco",
2017-0498-MEX,Hydrological,"Nuevo Laredo, Madero, Altamira, Tampico, Guemez, Hidalgo (Tamaulipas)","Hidalgo, Tamaulipas"
2018-0315-MEX,Geophysical,Oaxaca,Oaxaca
2018-0367-MEX,Hydrological,"Sinaloa, Sonora, Chihuahua, Michoacan","Chihuahua, Michoacan, Sinaloa, Sonora"
2018-0406-MEX,Meteorological,"Sinaloa, Nayarit, Jalisco, Durango, Zacatec","Durango, Jalisco, Nayarit, Sinaloa"
2018-0421-MEX,Meteorological,Michoacán and Oaxaca,Oaxaca
2019-0225-MEX,Hydrological,San Gabriel municipality (Jalisco state),Jalisco
2019-0297-MEX,Hydrological,Victoria (Tamaulipas),Tamaulipas
2019-0418-MEX,Meteorological,"Baja California Peninsula, coastal Baja California Sur, Jalisco, Sinaloa, Nayarit, Michoacan, Colima States","Baja California, Baja California Sur, Colima, Jalisco, Michoacan, Nayarit, Sinaloa"
2019-0450-MEX,Meteorological,Oaxaca state,Oaxaca
2019-0519-MEX,Meteorological,"Coahuila, Nuevo León, Tamaulipas, San Luis Potosí states","Coahuila, Tamaulipas"
2019-0596-MEX,Hydrological,"Sinaloa, Chihuahua, Sonora, Baja California; Mazatlán (Sinaloa)","Baja California, Chihuahua, Sinaloa, Sonora"
2020-0219-MEX,Meteorological,"Ciudad del Carmen (Campeche State); Quintana Roo, Yucatan, Tabasco, Chiapas Oaxaca, Veracruz states","Campeche, Chiapas, Oaxaca, Quintana Roo, Tabasco, Veracruz, Yucatan"
2020-0281-MEX,Geophysical,South Oaxaca State (Mexico),"Mexico, Oaxaca"
2020-0316-MEX,Meteorological,"Coahuila, Nuevo León,Tamaulipas states","Coahuila, Tamaulipas"
2020-0353-MEX,Hydrological,Filomeno Meta municipality (Veracruz State),Veracruz
2020-0416-MEX,Meteorological,"Tabasco, Quintana Roo, Yucatán, Campeche","Campeche, Quintana Roo, Tabasco"
2020-0474-MEX,Meteorological,"Chiapas, San Cristobal de Las Casas, Tabasco","Chiapas, Tabasco"
2020-0483-MEX,Meteorological,"Quintana Roo, Yucatán, Chiapas, Campeche,Tabasco","Campeche, Chiapas, Quintana Roo, Tabasco"
2020-0506-MEX,Hydrological,"Chiapas, Tabasco, Veracruz","Chiapas, Tabasco, Veracruz"
2021-0122-MEX,Meteorological,"Chihuahua, Tamaulipas","Chihuahua, Tamaulipas"
2021-0325-MEX,Meteorological,"Yage municipality (Central Valley Region, Oaxaca State); Guerrero, Michoacán, Colima, and Jalisco states","Colima, Guerrero, Jalisco, Oaxaca"
2021-0359-MEX,Meteorological,"Guerrero, Michoacán, Colima, Jalisco, and Nayarit states","Colima, Guerrero, Jalisco, Nayarit"
2021-0528-MEX,Meteorological,"Xalapa City (Veracruz State); Tamaulipas state; Huauchinango, Tlaola (Puebla state)","Puebla, Tamaulipas, Veracruz"
2021-0552-MEX,Meteorological,"Michoacan, Colima and Jalisco States","Colima, Jalisco, Michoacan"
2021-0600-MEX,Hydrological,"Hidalgo, Mexico, Morelos, Jalisco states","Hidalgo, Jalisco, Mexico, Morelos"
2021-0602-MEX,Geophysical,Southern Guerrero State,Guerrero
2021-0607-MEX,Hydrological,"Tlayacapan, Ayala, Cuautla, Yautepec, Jonacatepec, Jantetelco, Yecapixtla and Tepalcingo (Morelos State)",Morelos
2021-0647-MEX,Hydrological,"Santiago de Querétaro, San Juan del Río, Tequisquiapan municipalities (Querétaro State)",
2021-0702-MEX,Meteorological,"Guerrero, Michoacán States; Jalisco, Colima, Guanajuato, and Nayarit","Colima, Guanajuato, Guerrero, Jalisco, Nayarit"
2022-0333-MEX,Meteorological,"Coastal and Santiago Xanica (Sierra Sur Regions of Oaxaca); Chiapas, Guerrero, Tabasco, and Veracruz states","Chiapas, Guerrero, Oaxaca, Tabasco, Veracruz"
2022-0572-MEX,Hydrological,"Culiacán, Mocorito, Guasave, and Elota (Sinaloa State); Oaxaca, Coahuila, Tamaulipas, Veracruz and Morelos states","Coahuila, Morelos, Oaxaca, Sinaloa, Tamaulipas, Veracruz"
2022-0579-MEX,Hydrological,Nuevo León State,
2022-0622-MEX,Geophysical,"Mexico; Coalcomán Municipality (Michoacán); Colima, Guerrero Jalisco States.","Colima, Guerrero, Jalisco, Mexico"
2022-0623-MEX,Geophysical,"Colima, Michoacán, Jalisco States","Colima, Jalisco"
2022-0675-MEX,Meteorological,"Tabasco, Veracruz; Pichucalco, Ostuaca Municipalities (Chiapa); Oaxaca states","Oaxaca, Tabasco, Veracruz"
2022-0698-MEX,Meteorological,"Santiago Ixcuintla, Rosamorada (Nayarit state); Jalisco, and Sinaloa","Jalisco, Nayarit, Sinaloa"
2023-0647-MEX,Hydrological,Autlan (Jalisco state),Jalisco
2023-0675-MEX,Meteorological,Acapulco (central Guerrero State),Guerrero
2024-0352-MEX,Meteorological,,
2024-0402-MEX,Meteorological,"Nuevo Leon, Veracruz, Tamaulipas, Coahuila,","Coahuila, Nuevo Leon, Tamaulipas, Veracruz"
2024-0471-MEX,Meteorological,"Veracruz, Mexico city","Mexico, Veracruz"
2024-0665-MEX,Hydrological,"Jilotzingo, Naucalpan (Mexico state)",Mexico
2024-0685-MEX,Meteorological,Tlacoachistlahuaca town (Guerrero state); Michoacan state,"Guerrero, Michoacan"
2024-0693-MEX,Meteorological,Quintana Roo state,Quintana Roo
2024-0722-MEX,Meteorological,Tampa and Sarasota city area; Yucatan,Yucatan
2024-0795-MEX,Meteorological,"Chiapas, Veracruz, and Tabasco states","Chiapas, Tabasco, Veracruz"
2025-0471-MEX,Meteorological,Oaxaca and Guerrero states,"Guerrero, Oaxaca"
2025-0587-MEX,Hydrological,La Martinica (Jalisco State),Jalisco
